Abel Bento
Abigail Colares
Abraão Carromeu
Abílio Cambezes
Acacio Moreira
Adalberto Freyria
Adalberto Queiroz
Adelina Quinaz
Adelino Barreto
Adão Póvoas
Alarico Chagas
Alberta Aldeia
Alexandre Pêssego
Alice Cortez
Almeno Penteado
Alvito Candeias
Alípio Correa
Amandio García
Amélia Lamego
Américo Bello
Amílcar Maranhão
Anacleto Dinis
Angelina Bandeira
Angelina Capistrano
Angélico Faro
Antero Sintra
Antónia Querino
Armanda Mendoça
Artur Baía
Artur Jardim
Astolfo Couto
Augusta Nobre
Aurora Caldera
Balduíno Bezerril
Belmiro Freire
Benedita Coello
Berengária Reyes
Berengário Carvalhal
Berengário Varela
Bernardete Marreiro
Blasco Coello
Brenda Colares
Brites Cortesão
Brás Cayubi
Bráulio Cascais
Brígida Fróis
Bárbara Galante
Bárbara Quiroga
Camila Rebelo
Capitolina Filipe
Carlos Sosa
Carminda Bocaiúva
Casimiro Becerra
Cauã Pimienta
Celestino Assumpção
Celestino Sobreira
Cesário Monjardim
Cidália Coitinho
Clarisse Guaraciaba
Claudemira Fialho
Cláudio Castelhano
Cláudio Coello
Clóvis Rebelo
Comecus Escobar
Comecus Morera
Constantino Enríquez
Corina Canário
Cristiano Pastana
Daniel Figueiroa
David Lousado
Diamantino Pastana
Diodete Bugalho
Edmundo Aragón
Edmundo Ochoa
Edmundo Souto
Elba Paz
Elba Santarém
Elisa Mora
Elisabete Alencar
Eliseu Onofre
Ema Bethecourt
Emídio Valentim
Emília Coitinho
Ernesto Corte-Real
Esmeralda Furquim
Estela Freire
Estela Lessa
Ester César
Ester Penteado
Ester Villégas
Estêvão Villar
Eudes Miguel
Eugénia Sampaio
Eurico Baptista
Ezequiel Sousa
Felicidade Siebra
Filipe Casquero
Fiona Querino
Firmina Belén
Firmino Clementino
Florêncio Bicalho
Florêncio Martínez
Flávia Menezes
Francisca Brión
Francisca Colaço
Frederico Guerreiro
Fátima Vila-Chã
Félix Candeias
Gabriel Hierro
Galindo Nieto
Germana Meneses
Gerson Vilas-Boas
Gilberto Morales
Gilberto Palha
Gilda Hurtado
Gilda Soares
Ginéculo Jatobá
Glauco Gouvêa
Godofredo Valido
Greice Salguero
Gui Moutinho
Guido Queiroz
Gustavo Durán
Guálter, Walter Doutel
Heloísa Alcaide
Heloísa Azevedo
Heloísa Nascimento
Henrique Bonilla
Herculano Capanema
Herculano Franca
Herculano Guerra
Heriberto Alburquerque
Honório Paredes
Horácio Aleixo
Hélia Viveros
Ifigénia Ferro
Ilduara Parracho
Ingrit Magalhães
Isaac, Isaque Carvalhoso
Isabel Azeredo
Isaura Queiroz
Isidro Canedo
Isilda Saldaña
Israel Diegues
Itiberê Angelim
Iva Galante
Jacira Bonilha
Janaína Suaçuna
Jandaíra Balladares
Joaquim Madeira
Joaquim Trindade
Joaquina Salles
Jordão Norões
Jorge Blanco
João Godinho
João Modesto
Judite Cabeça de Vaca
Judá Avelar
Jurema Teixeira
Justino Gomes
Juçara Bulhosa
Leonilde Mederos
Leopoldina Lira
Leopoldina Talhão
Leopoldo Buenaventura
Leopoldo Macieira
Leônidas   Mortágua
